step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
277,435360,8864,0.03355719563944054,0.6875,0.6875,,,,,
278,436928,8896,0.03180599615051164,0.625,0.625,,,,,
279,438752,8928,0.02218486169331799,0.6875,0.6875,,,,,
280,440320,8960,0.022345513831903363,0.8125,0.8125,,,,,
281,441632,8992,0.026879964220354963,0.8125,0.8125,0.027924441939228956,0.75,0.75,,
282,443200,9024,0.019881197967558203,0.84375,0.84375,,,,,
283,444512,9056,0.02455389359961901,0.8125,0.8125,,,,,
284,446592,9088,0.017932261776977328,0.8125,0.8125,,,,,
285,448160,9120,0.01947955028933483,0.875,0.875,,,,,
286,449472,9152,0.025920488418690067,0.90625,0.90625,,,,,
287,451040,9184,0.02375637880773084,0.8125,0.8125,,,,,
288,452608,9216,0.024698067567516163,0.8125,0.8125,,,,,
289,454176,9248,0.025564762985160413,0.6875,0.6875,0.019990399974092694,0.875,0.875,,
290,455488,9280,0.027277828231470607,0.78125,0.78125,,,,,
291,457056,9312,0.026289854177086014,0.8125,0.8125,,,,,
292,458624,9344,0.019149493101798875,0.90625,0.90625,,,,,
293,460192,9376,0.02677899659984097,0.84375,0.84375,,,,,
294,461760,9408,0.034763596702677736,0.65625,0.65625,,,,,
295,463328,9440,0.022514315752988855,0.78125,0.78125,,,,,
296,464896,9472,0.02582914910164168,0.78125,0.78125,,,,,
297,466464,9504,0.025497013872839414,0.71875,0.71875,0.021881773507666458,0.84375,0.84375,,
298,467776,9536,0.030789280731022016,0.6875,0.6875,,,,,
299,469344,9568,0.032914212360795427,0.53125,0.53125,,,,,
300,470912,9600,0.02497014059353295,0.78125,0.78125,,,,,
301,472480,9632,0.024663367307388884,0.75,0.75,,,,,
302,474048,9664,0.025114942872626878,0.8125,0.8125,,,,,
303,475360,9696,0.02683912131962359,0.78125,0.78125,,,,,
304,476928,9728,0.022544814143192964,0.8125,0.8125,,,,,
305,478496,9760,0.02411286389356083,0.84375,0.84375,0.025774020372611995,0.65625,0.65625,,
306,480064,9792,0.024082244077963347,0.71875,0.71875,,,,,
307,481632,9824,0.024687739451303703,0.78125,0.78125,,,,,
308,482944,9856,0.03015988826329056,0.75,0.75,,,,,
309,484256,9888,0.023846885351315565,0.84375,0.84375,,,,,
310,485824,9920,0.02586114286680242,0.78125,0.78125,,,,,
311,487392,9952,0.02317177815676284,0.84375,0.84375,,,,,
312,488960,9984,0.028052528975233148,0.71875,0.71875,,,,,
313,490528,10016,0.0248179857799921,0.78125,0.78125,0.021144503999682346,0.84375,0.84375,,
314,492096,10048,0.02738475250578271,0.6875,0.6875,,,,,
315,493664,10080,0.0294741471038886,0.625,0.625,,,,,
316,495232,10112,0.023836667749697445,0.8125,0.8125,,,,,
